fold,n_layer,layer_size,features,f_engineer,normalize,acc
2,1,128,"['sd', 'range_value', 'length', 'sum_diff']",1,1,86.66666666666667
2,1,128,"['sd', 'range_value', 'length', 'sum_diff']",0,1,89.29824561403508
2,2,2,['length'],1,1,94.38596491228071
2,2,2,['length'],0,1,94.73684210526315
2,2,2,"['length', 'sd']",1,1,94.38596491228071
2,2,2,"['length', 'sd']",0,1,94.38596491228071
2,2,2,"['sd', 'range_value', 'length', 'sum_diff']",1,1,95.08771929824562
2,2,2,"['sd', 'range_value', 'length', 'sum_diff']",0,1,92.45614035087719
2,2,4,['length'],1,1,94.38596491228071
2,2,4,['length'],0,1,95.43859649122807
2,2,4,"['length', 'sd']",1,1,91.9298245614035
2,2,4,"['length', 'sd']",0,1,93.6842105263158
2,2,4,"['sd', 'range_value', 'length', 'sum_diff']",1,1,94.73684210526315
2,2,4,"['sd', 'range_value', 'length', 'sum_diff']",0,1,92.10526315789474
2,2,8,['length'],1,1,94.03508771929825
2,2,8,['length'],0,1,94.91228070175438
2,2,8,"['length', 'sd']",1,1,90.17543859649123
2,2,8,"['length', 'sd']",0,1,92.63157894736842
2,2,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,89.64912280701755
2,2,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,92.10526315789474
2,2,16,['length'],1,1,93.50877192982456
2,2,16,['length'],0,1,94.03508771929825
2,2,16,"['length', 'sd']",1,1,92.63157894736842
2,2,16,"['length', 'sd']",0,1,91.22807017543859
2,2,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,88.94736842105263
2,2,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,89.47368421052632
2,2,32,['length'],1,1,95.08771929824562
2,2,32,['length'],0,1,93.50877192982456
2,2,32,"['length', 'sd']",1,1,88.94736842105263
2,2,32,"['length', 'sd']",0,1,92.45614035087719
2,2,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,83.50877192982456
2,2,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,88.42105263157895
2,2,64,['length'],1,1,94.38596491228071
2,2,64,['length'],0,1,93.15789473684211
2,2,64,"['length', 'sd']",1,1,85.08771929824562
2,2,64,"['length', 'sd']",0,1,89.29824561403508
2,2,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,79.82456140350878
2,2,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,84.56140350877193
2,2,128,['length'],1,1,91.75438596491227
2,2,128,['length'],0,1,92.80701754385964
2,2,128,"['length', 'sd']",1,1,82.45614035087719
2,2,128,"['length', 'sd']",0,1,86.8421052631579
2,2,128,"['sd', 'range_value', 'length', 'sum_diff']",1,1,79.64912280701755
2,2,128,"['sd', 'range_value', 'length', 'sum_diff']",0,1,82.28070175438596
2,3,2,['length'],1,1,94.73684210526315
2,3,2,['length'],0,1,94.91228070175438
2,3,2,"['length', 'sd']",1,1,94.56140350877193
2,3,2,"['length', 'sd']",0,1,94.38596491228071
2,3,2,"['sd', 'range_value', 'length', 'sum_diff']",1,1,93.33333333333333
2,3,2,"['sd', 'range_value', 'length', 'sum_diff']",0,1,93.85964912280701
2,3,4,['length'],1,1,95.43859649122807
2,3,4,['length'],0,1,94.73684210526315
2,3,4,"['length', 'sd']",1,1,92.98245614035088
2,3,4,"['length', 'sd']",0,1,93.85964912280701
2,3,4,"['sd', 'range_value', 'length', 'sum_diff']",1,1,92.80701754385964
2,3,4,"['sd', 'range_value', 'length', 'sum_diff']",0,1,92.98245614035088
2,3,8,['length'],1,1,95.43859649122807
2,3,8,['length'],0,1,94.21052631578948
2,3,8,"['length', 'sd']",1,1,94.73684210526315
2,3,8,"['length', 'sd']",0,1,91.9298245614035
2,3,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,91.22807017543859
2,3,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,91.40350877192982
